The Paker Squares,117.18,107.06,99.82,68.68,103.04,134.50,127.72,101.72,115.60,67.50,183.68,79.16,121.72,115.78
Humbling Pi,117.56,101.7,71.8,100.50,74.96,77.78,59.36,65.60,110.20,69.74,76.68,89.20,119.20,177.28
Infinite Jest,105.66,117.24,80.66,66.42,153.22,123.46,98.64,128.42,111.96,74.38,75.84,109.80,117.84,80.92
Mould Effect,94.04,95.46,105.48,91.62,88.46,79.50,93.98,96.90,81.04,91.62,72.56,56.00,55.16,108.90
Teapot Assassins,100.58,130.54,106.18,78.88,71.70,114.46,97.40,150.78,96.56,67.78,116.32,126.48,109.30,112.64
Sine Me Up,51.16,65.82,99.56,60.58,102.38,57.92,38.14,73.76,71.84,113.52,96.84,57.06,105.16,77.96
3Blues Clues,85.12,87.32,82.56,77.92,71.70,97.96,39.16,107.76,113.58,73.78,59.24,67.46,94.52,91.92
Dream Killer,56.76,70.12,109.76,107.94,113.74,67.12,76.46,110.96,129.08,48.46,126.20,121.12,87.38,128.72
Turing Tested,92.52,65.48,107.48,89.54,118.32,103.42,150.04,89.66,85.00,99.00,94.68,101.78,97.98,73.10
Bolt Mamma,74.6,59.9,80.52,112.48,138.56,105.02,63.50,99.44,66.60,134.34,95.34,95.26,73.20,107.20
Not the Bestagons,89.04,42.74,43.48,74.20,84.44,90.20,66.56,121.26,72.62,65.70,83.38,73.62,44.46,100.30
Pi^rescue,120.58,104.54,112.28,100.20,74.76,70.26,109.74,81.52,105.74,64.24,121.46,133.58,133.99,106.98
The one real i,85.98,74.06,42.48,55.88,80.16,111.54,71.56,97.24,59.48,69.50,57.94,49.18,103.96,65.30
Liked and subscribed,97.08,125.38,60.36,104.88,43.20,67.80,79.78,145.84,106.98,75.04,109.58,99.26,72.44,118.92